idx,hit_term,whitespace_before,whitespace_after,boundary_cut_near,timestamps_in_window,pct_time_decreasing,near_total,near_proactive_event_tracker,near_triald,near_TRILogEvent,near_ABTest,near_variant,near_bucket
208,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
209,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
210,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
211,設定,No,No,No,39,0.282,0,0,0,0,0,0,0
212,設定,No,No,No,39,0.282,0,0,0,0,0,0,0
213,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
214,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
215,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
216,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
217,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
218,確認,No,No,No,39,0.282,0,0,0,0,0,0,0
219,確認,No,No,No,37,0.27,0,0,0,0,0,0,0
220,復元,No,No,No,37,0.27,0,0,0,0,0,0,0
221,確認,No,No,No,37,0.27,0,0,0,0,0,0,0
222,確認,No,No,No,37,0.27,0,0,0,0,0,0,0
223,削除,No,No,No,33,0.242,0,0,0,0,0,0,0
224,削除,No,No,No,33,0.242,0,0,0,0,0,0,0
225,削除,No,No,No,33,0.242,0,0,0,0,0,0,0
226,削除,No,No,No,33,0.242,0,0,0,0,0,0,0
227,削除,No,No,No,33,0.242,0,0,0,0,0,0,0
228,削除,No,No,No,33,0.242,0,0,0,0,0,0,0
229,削除,No,No,No,33,0.242,0,0,0,0,0,0,0
230,確認,No,No,No,33,0.242,0,0,0,0,0,0,0
231,削除,No,No,No,33,0.242,0,0,0,0,0,0,0
232,削除,No,No,No,33,0.242,0,0,0,0,0,0,0
233,監視,No,No,No,33,0.212,0,0,0,0,0,0,0
234,削除,No,No,No,33,0.212,0,0,0,0,0,0,0
235,確認,No,No,No,33,0.212,0,0,0,0,0,0,0
236,確認,No,No,No,33,0.212,0,0,0,0,0,0,0
237,監視,No,No,No,31,0.194,0,0,0,0,0,0,0
238,設定,No,No,No,31,0.194,0,0,0,0,0,0,0
239,設定,No,No,No,30,0.167,0,0,0,0,0,0,0
240,確認,No,No,No,30,0.167,0,0,0,0,0,0,0
241,削除,No,No,No,30,0.167,0,0,0,0,0,0,0
242,確認,No,No,No,20,0.1,0,0,0,0,0,0,0
243,確認,No,No,No,5,0.0,0,0,0,0,0,0,0
244,監視,No,No,No,5,0.0,0,0,0,0,0,0,0
245,監視,No,No,No,5,0.0,0,0,0,0,0,0,0
246,監視,No,No,No,5,0.0,0,0,0,0,0,0,0
247,監視,No,No,No,2,0.5,0,0,0,0,0,0,0
248,監視,No,No,No,2,0.5,0,0,0,0,0,0,0
249,監視,No,No,No,2,0.5,0,0,0,0,0,0,0
250,監視,No,No,No,4,0.5,0,0,0,0,0,0,0
251,追跡,No,No,No,4,0.5,0,0,0,0,0,0,0
252,認証,No,No,No,4,0.5,0,0,0,0,0,0,0
253,認証,No,No,No,4,0.5,0,0,0,0,0,0,0
254,認証,No,No,No,4,0.5,0,0,0,0,0,0,0
