batch,file,hit_term,hit_pos,window_len,has_seam_or_burst,whitespace_ratio,order_anomaly,proactive_event_tracker,triald,TRILogEvent,ABTest,variant,bucket,timestamp
24000-26999,part3.zip:part3.txt,確認,192625,60002,False,0.1247,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,復元,196594,60002,False,0.1345,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,復元,198480,60002,False,0.1378,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,復元,200988,60002,False,0.1411,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,復元,203785,60002,False,0.1396,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,復元,204479,60002,False,0.143,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,206314,60002,False,0.1475,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,206394,60002,False,0.1475,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,207619,60002,False,0.1526,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,207858,60002,False,0.1536,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,208386,60002,False,0.1553,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,208466,60002,False,0.1558,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,208945,60002,False,0.1563,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,209188,60002,False,0.1563,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,210172,60002,False,0.157,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,210956,60002,False,0.1571,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,212332,60003,False,0.1567,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,削除,212427,60002,False,0.1567,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,212476,60002,False,0.1567,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,213520,60002,False,0.1568,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,確認,215648,60002,False,0.1564,True,True,True,True,False,False,False,
24000-26999,part3.zip:part3.txt,復元,218887,60002,False,0.1506,True,False,True,True,False,False,True,
24000-26999,part3.zip:part3.txt,復元,218917,60002,False,0.1505,True,False,True,True,False,False,True,
